Title,Location,TimeStart,TimeEnd,Description,Category,URL,Date
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,06-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Stained Glass,The Park Centre,13:30:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Wicketz,The Park Centre,16:30:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Kasper Minnie’s Dance,The Park Centre,17:30:00,18:30:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Bristol Benchwarmers Basketball,The Park Centre,18:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Spinning,The Park Centre,18:30:00,19:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Imperial SW Karate,The Park Centre,19:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Pilates,The Park Centre,19:30:00,20:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Spin & Circuits,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Spartan Basketball,The Park Centre,19:30:00,20:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
AA Meeting,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Ladies only HIIT,The Park Centre,20:30:00,21:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,07-07-2020
Community Allotment Knowle West,"Knowle West Health Association, Andover Road",10:00:00,13:30:00,"Orchard, wildlife and kid’s picnic",Outdoors,https://kwha1.wordpress.com/current-courses-and-activties/,07-07-2020
Friendship Cooking Classes (50yo +),"Knowle West Health Association, 49b Filwood Broadway",12:30:00,14:30:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,07-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,07-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Pilates,The Park Centre,09:45:00,10:35:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Retired Gentlemens Woodworking Group,The Park Centre,10:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Walking Hockey,The Park Centre,12:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
A Ride in the Park,The Park Centre,16:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Pottery for the Experienced,The Park Centre,16:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
The Park Football Club (Seasonal),The Park Centre,17:00:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
KASPA Dance Class Juniors,The Park Centre,17:00:00,18:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
KASPA Dance Class Seniors,The Park Centre,18:00:00,20:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Pregnancy fitness & Pilates,The Park Centre,18:00:00,18:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Ladies only HIIT,The Park Centre,19:00:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Spin & Core,The Park Centre,18:30:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Academy Badminton,The Park Centre,19:00:00,22:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Pilates,The Park Centre,20:00:00,20:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,08-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,08-07-2020
Cafe Church,St Barnabas Knowle West,19:00:00,,,Cafe,,08-07-2020
Wednesday Club,"Eagle House Social Club, Newquay Road",12:30:00,15:00:00,A group of over 50s who meet once a week all year.,Cafe,,08-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,08-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Pilates,The Park Centre,07:30:00,08:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Spin Class,The Park Centre,10:05:00,10:55:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Ping (Over 55’s),The Park Centre,10:30:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Postnatal Pilates,The Park Centre,11:00:00,11:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Archery (Over 55’s),The Park Centre,11:45:00,13:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Yoga,The Park Centre,12:30:00,01:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
The Park Football Club (Seasonal),The Park Centre,18:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Spin,The Park Centre,18:45:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Light Sabre Training,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Bart Basketball,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,09-07-2020
Good Mood Food Cooking Classes,"Knowle West Health Association, 49b Filwood Broadway",13:00:00,15:00:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,09-07-2020
"Coffee, Cake & Chat",St Barnabas Knowle West,10:00:00,11:30:00,"Everyone Welcome, Free Tea, Coffee, Cake",Cafe,,09-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,09-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,10-07-2020
Tai Chi,The Park Centre,11:00:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,10-07-2020
Pilates,The Park Centre,14:00:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,10-07-2020
Walking Football,The Park Centre,14:30:00,15:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,10-07-2020
The Park Football Disability Team,The Park Centre,16:45:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,10-07-2020
Zumba,Bristol Community Links,14:00:00,15:00:00,Victoria will be back at Bristol Community links South for a Fun Filled new year Zumba work out!,Exercise,https://www.facebook.com/events/1819333294863459/?event_time_id=1819333328196789,10-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,10-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,10-07-2020
Pilates  ,The Park Centre,09:00:00,09:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,11-07-2020
Spin & Stretch,The Park Centre,09:30:00,10:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,11-07-2020
Imperial SW Karate,The Park Centre,10:00:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,11-07-2020
Batala Bristol,The Park Centre,14:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,11-07-2020
The Gym,The Park Centre,09:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,11-07-2020
The Gym,The Park Centre,09:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-07-2020
Bristol Benchwarmers Basketball,The Park Centre,09:30:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-07-2020
Parkour,The Park Centre,11:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,12-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Postnatal Pilates,The Park Centre,10:00:00,10:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Over 55s Dance Fit,The Park Centre,10:00:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Over 55s Dance Variety,The Park Centre,11:00:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Staying Steady,The Park Centre,,,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Badminton,The Park Centre,15:00:00,16:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Yoga (beginners),The Park Centre,18:00:00,19:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Revive Aerobics,The Park Centre,18:00:00,19:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Pilates,The Park Centre,19:00:00,19:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Spin,The Park Centre,18:45:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Puppy & Dog Training,The Park Centre,19:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Bristol Benchwarmers Basketball,The Park Centre,19:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,13-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,13-07-2020
Yoga,Filwood Community Centre,19:00:00,20:00:00,,Exercise,,13-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,13-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Stained Glass,The Park Centre,13:30:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Wicketz,The Park Centre,16:30:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Kasper Minnie’s Dance,The Park Centre,17:30:00,18:30:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Bristol Benchwarmers Basketball,The Park Centre,18:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Spinning,The Park Centre,18:30:00,19:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Imperial SW Karate,The Park Centre,19:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Pilates,The Park Centre,19:30:00,20:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Spin & Circuits,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Spartan Basketball,The Park Centre,19:30:00,20:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
AA Meeting,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Ladies only HIIT,The Park Centre,20:30:00,21:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,14-07-2020
Community Allotment Knowle West,"Knowle West Health Association, Andover Road",10:00:00,13:30:00,"Orchard, wildlife and kid’s picnic",Outdoors,https://kwha1.wordpress.com/current-courses-and-activties/,14-07-2020
Friendship Cooking Classes (50yo +),"Knowle West Health Association, 49b Filwood Broadway",12:30:00,14:30:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,14-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,14-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Pilates,The Park Centre,09:45:00,10:35:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Retired Gentlemens Woodworking Group,The Park Centre,10:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Walking Hockey,The Park Centre,12:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
A Ride in the Park,The Park Centre,16:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Pottery for the Experienced,The Park Centre,16:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
The Park Football Club (Seasonal),The Park Centre,17:00:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
KASPA Dance Class Juniors,The Park Centre,17:00:00,18:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
KASPA Dance Class Seniors,The Park Centre,18:00:00,20:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Pregnancy fitness & Pilates,The Park Centre,18:00:00,18:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Ladies only HIIT,The Park Centre,19:00:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Spin & Core,The Park Centre,18:30:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Academy Badminton,The Park Centre,19:00:00,22:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Pilates,The Park Centre,20:00:00,20:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,15-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,15-07-2020
Cafe Church,St Barnabas Knowle West,19:00:00,,,Cafe,,15-07-2020
Wednesday Club,"Eagle House Social Club, Newquay Road",12:30:00,15:00:00,A group of over 50s who meet once a week all year.,Cafe,,15-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,15-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Pilates,The Park Centre,07:30:00,08:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Spin Class,The Park Centre,10:05:00,10:55:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Ping (Over 55’s),The Park Centre,10:30:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Postnatal Pilates,The Park Centre,11:00:00,11:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Archery (Over 55’s),The Park Centre,11:45:00,13:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Yoga,The Park Centre,12:30:00,01:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
The Park Football Club (Seasonal),The Park Centre,18:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Spin,The Park Centre,18:45:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Light Sabre Training,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Bart Basketball,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,16-07-2020
Good Mood Food Cooking Classes,"Knowle West Health Association, 49b Filwood Broadway",13:00:00,15:00:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,16-07-2020
"Coffee, Cake & Chat",St Barnabas Knowle West,10:00:00,11:30:00,"Everyone Welcome, Free Tea, Coffee, Cake",Cafe,,16-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,16-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,17-07-2020
Tai Chi,The Park Centre,11:00:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,17-07-2020
Pilates,The Park Centre,14:00:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,17-07-2020
Walking Football,The Park Centre,14:30:00,15:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,17-07-2020
The Park Football Disability Team,The Park Centre,16:45:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,17-07-2020
Zumba,Bristol Community Links,14:00:00,15:00:00,Victoria will be back at Bristol Community links South for a Fun Filled new year Zumba work out!,Exercise,https://www.facebook.com/events/1819333294863459/?event_time_id=1819333328196789,17-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,17-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,17-07-2020
Pilates  ,The Park Centre,09:00:00,09:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,18-07-2020
Spin & Stretch,The Park Centre,09:30:00,10:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,18-07-2020
Imperial SW Karate,The Park Centre,10:00:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,18-07-2020
Batala Bristol,The Park Centre,14:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,18-07-2020
The Gym,The Park Centre,09:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,18-07-2020
The Gym,The Park Centre,09:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,19-07-2020
Bristol Benchwarmers Basketball,The Park Centre,09:30:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,19-07-2020
Parkour,The Park Centre,11:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,19-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Postnatal Pilates,The Park Centre,10:00:00,10:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Over 55s Dance Fit,The Park Centre,10:00:00,11:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Over 55s Dance Variety,The Park Centre,11:00:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Staying Steady,The Park Centre,,,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Badminton,The Park Centre,15:00:00,16:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Yoga (beginners),The Park Centre,18:00:00,19:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Revive Aerobics,The Park Centre,18:00:00,19:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Pilates,The Park Centre,19:00:00,19:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Spin,The Park Centre,18:45:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Puppy & Dog Training,The Park Centre,19:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Bristol Benchwarmers Basketball,The Park Centre,19:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,20-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,20-07-2020
Yoga,Filwood Community Centre,19:00:00,20:00:00,,Exercise,,20-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,20-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Stained Glass,The Park Centre,13:30:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Wicketz,The Park Centre,16:30:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Kasper Minnie’s Dance,The Park Centre,17:30:00,18:30:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Bristol Benchwarmers Basketball,The Park Centre,18:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Spinning,The Park Centre,18:30:00,19:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Imperial SW Karate,The Park Centre,19:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Pilates,The Park Centre,19:30:00,20:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Spin & Circuits,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Spartan Basketball,The Park Centre,19:30:00,20:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
AA Meeting,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Ladies only HIIT,The Park Centre,20:30:00,21:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,21-07-2020
Community Allotment Knowle West,"Knowle West Health Association, Andover Road",10:00:00,13:30:00,"Orchard, wildlife and kid’s picnic",Outdoors,https://kwha1.wordpress.com/current-courses-and-activties/,21-07-2020
Friendship Cooking Classes (50yo +),"Knowle West Health Association, 49b Filwood Broadway",12:30:00,14:30:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,21-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,21-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Pilates,The Park Centre,09:45:00,10:35:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Retired Gentlemens Woodworking Group,The Park Centre,10:00:00,14:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Walking Hockey,The Park Centre,12:00:00,13:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
A Ride in the Park,The Park Centre,16:00:00,17:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Pottery for the Experienced,The Park Centre,16:00:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
The Park Football Club (Seasonal),The Park Centre,17:00:00,18:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
KASPA Dance Class Juniors,The Park Centre,17:00:00,18:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
KASPA Dance Class Seniors,The Park Centre,18:00:00,20:00:00,term time only,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Pregnancy fitness & Pilates,The Park Centre,18:00:00,18:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Ladies only HIIT,The Park Centre,19:00:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Spin & Core,The Park Centre,18:30:00,19:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Academy Badminton,The Park Centre,19:00:00,22:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Pilates,The Park Centre,20:00:00,20:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,22-07-2020
Filwood Library,Filwood Library,11:00:00,17:00:00,,Reading,,22-07-2020
Cafe Church,St Barnabas Knowle West,19:00:00,,,Cafe,,22-07-2020
Wednesday Club,"Eagle House Social Club, Newquay Road",12:30:00,15:00:00,A group of over 50s who meet once a week all year.,Cafe,,22-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,22-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Pilates,The Park Centre,07:30:00,08:20:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Spin Class,The Park Centre,10:05:00,10:55:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Ping (Over 55’s),The Park Centre,10:30:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Postnatal Pilates,The Park Centre,11:00:00,11:50:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Archery (Over 55’s),The Park Centre,11:45:00,13:15:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Yoga,The Park Centre,12:30:00,01:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
The Park Football Club (Seasonal),The Park Centre,18:00:00,20:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Spin,The Park Centre,18:45:00,19:45:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Light Sabre Training,The Park Centre,19:30:00,21:30:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Bart Basketball,The Park Centre,20:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,23-07-2020
Good Mood Food Cooking Classes,"Knowle West Health Association, 49b Filwood Broadway",13:00:00,15:00:00,,Cooking,https://kwha1.wordpress.com/current-courses-and-activties/,23-07-2020
"Coffee, Cake & Chat",St Barnabas Knowle West,10:00:00,11:30:00,"Everyone Welcome, Free Tea, Coffee, Cake",Cafe,,23-07-2020
Exhibition: 100 Years of Knowle West Style,"Knowle West Media Centre, Leinster Avenue",09:00:00,17:00:00,Our Autumn / Winter exhibition explores the hidden heritage of Knowle West and marks 100 years since the first council estates were built in,Art,,23-07-2020
The Gym,The Park Centre,07:00:00,21:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,24-07-2020
Tai Chi,The Park Centre,11:00:00,12:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,24-07-2020
Pilates,The Park Centre,14:00:00,15:00:00,,Exercise,https://theparkcentre.org.uk/wp/whats-on/,24-07-2020
